country,life_expectancy,hdi,per_capita_gdp,region,income_group,pop,total_prod,total_cons,number_of_countries_required,number_of_earths_required,overshoot_day
Qatar,80.1,0.845,63990.1082706583,Middle East/Central Asia,HI,2.78167993164061,11.9431977854333,14.2709535939946,15.505954210479274,9.017274949608842,40
Luxembourg,82.2951,0.913,111380.64947802795,EU,HI,0.604244995117186,6.2639223889631,12.9503590124291,10.722969769736906,8.182841261593007,44
Bahrain,77.163,0.852,21477.970657701197,Middle East/Central Asia,HI,1.56944995117187,7.29161109431885,8.17288810574474,17.566284808968135,5.164138380556491,70
Canada,82.0488,0.928,51517.748526039875,North America,HI,37.0746015625,11.7241985443055,8.06504970635452,0.5472797719703493,5.095999381223149,71
United Arab Emirates,77.814,0.889,41325.0601823972,Middle East/Central Asia,HI,9.6309599609375,6.57915275258855,8.0962186446552291,15.65363233055753,5.115693852562694,71
United States of America,78.639,0.925,54723.9954019615,North America,HI,327.096,7.82335482595562,8.12238312486328,2.398882767799332,5.132226196417338,71
Estonia,78.2439,0.889,19918.664110201775,EU,HI,1.32292004394531,10.5662843378038,8.0094405060858,0.8582965831246387,5.060862034216295,72
Belize,74.496,0.714,4217.2076175280645,Central America/Caribbean,UM,0.38307101440429603,6.4821054704461,7.87246021937444,2.240399342407715,4.97430938026664,73
Kuwait,75.398,0.807,33113.30261927857,Middle East/Central Asia,HI,4.13731005859375,7.93094557312895,7.8997299983415,15.756807429952264,4.991540120535078,73
Trinidad and Tobago,73.38,0.795,15161.241954618194,Central America/Caribbean,HI,1.38983996582031,7.81929375977152,7.44374152727621,4.966875590462378,4.7034182798770185,77
Mongolia,69.689,0.735,4210.843450411825,Asia-Pacific,LM,3.17021997070312,8.05884390294668,7.27571556657582,0.5144602640665895,4.59724904063675,79
Australia,82.7488,0.943,57032.23705153124,Asia-Pacific,HI,24.89819921875,10.8466841354672,7.08603895065639,0.6176976848092257,4.477399572555192,81
Belgium,81.5951,0.93,46768.040172233705,EU,HI,11.4822001953124,3.65674814536017,6.86563365481813,9.011191924428033,4.338133815727294,84
Denmark,80.9537,0.939,64671.69684598826,EU,HI,5.7521298828125,4.39489161645514,6.65338735373052,1.8388193336486396,4.204023418595189,86
Finland,81.7341,0.937,48890.19193573543,EU,HI,5.522580078125,11.8569123388014,6.44346417261359,0.5308313330311824,4.07138091296582,89
Latvia,74.7829,0.863,16252.398615921245,EU,HI,1.92845996093749,7.55073553550487,6.40517384309679,0.7853644017784566,4.047186704296443,90
"Korea, Republic of",82.6268,0.914,28335.97519991481,Asia-Pacific,HI,51.17169921875,4.88563607878052,6.31681983173438,9.812698480147079,3.9913591516309377,91
Oman,77.633,0.813,15796.763745538165,Middle East/Central Asia,HI,4.82947021484374,6.50711067692585,6.28841815446399,4.406780047475588,3.973413207704322,91
Sweden,82.5585,0.943,59067.517556382314,EU,HI,9.9716396484375,7.03075157944995,6.27625567245119,0.7005469728996957,3.9657281960716553,92
Austria,81.6927,0.921,49711.01452939631,EU,HI,8.89138964843749,4.61947518843573,6.0644595526287,2.2665064124106173,3.8319022514267673,95
